
2.614,0.464,0.905,2.200,2.173,0.171,1.737,0.790
2.615,0.464,0.906,2.200,2.173,0.171,1.737,0.790
2.615,0.464,0.906,2.200,2.172,0.171,1.737,0.789
2.612,0.464,0.905,2.198,2.172,0.171,1.740,0.790
2.614,0.464,0.906,2.200,2.173,0.171,1.738,0.789
2.614,0.464,0.905,2.198,2.172,0.171,1.738,0.789
2.614,0.464,0.906,2.200,2.173,0.171,1.738,0.789
2.614,0.464,0.905,2.198,2.172,0.171,1.737,0.789
2.614,0.464,0.905,2.198,2.172,0.171,1.738,0.789
2.614,0.464,0.905,2.198,2.172,0.171,1.738,0.789
2.614,0.464,0.906,2.198,2.172,0.171,1.738,0.789
2.612,0.464,0.905,2.197,2.170,0.171,1.741,0.789
2.612,0.464,0.905,2.198,2.170,0.171,1.738,0.789
2.612,0.464,0.905,2.197,2.170,0.171,1.738,0.787
2.612,0.464,0.905,2.198,2.172,0.171,1.738,0.787
2.614,0.464,0.905,2.198,2.170,0.171,1.738,0.787
2.612,0.464,0.906,2.201,2.170,0.171,1.738,0.787
2.612,0.464,0.905,2.197,2.170,0.171,1.738,0.787
2.612,0.464,0.905,2.197,2.170,0.171,1.740,0.787
2.611,0.464,0.905,2.196,2.169,0.171,1.738,0.787
2.610,0.464,0.905,2.197,2.170,0.171,1.738,0.787
2.612,0.463,0.905,2.197,2.169,0.171,1.738,0.786
2.610,0.464,0.905,2.196,2.169,0.171,1.740,0.786
2.610,0.464,0.905,2.196,2.169,0.171,1.741,0.786
2.612,0.464,0.906,2.196,2.169,0.171,1.740,0.786
2.610,0.463,0.905,2.196,2.169,0.171,1.740,0.786
2.611,0.463,0.905,2.196,2.168,0.171,1.738,0.786
2.609,0.463,0.905,2.195,2.169,0.171,1.738,0.786
2.611,0.463,0.906,2.195,2.168,0.171,1.738,0.786
2.609,0.463,0.905,2.195,2.168,0.171,1.740,0.786
2.609,0.464,0.905,2.194,2.167,0.171,1.738,0.786
2.610,0.463,0.905,2.195,2.168,0.171,1.738,0.785
2.610,0.463,0.905,2.195,2.167,0.171,1.738,0.785
2.609,0.463,0.905,2.195,2.168,0.171,1.740,0.785
2.607,0.463,0.905,2.194,2.168,0.171,1.740,0.785
2.607,0.463,0.905,2.194,2.167,0.171,1.741,0.785
2.609,0.463,0.905,2.194,2.167,0.171,1.738,0.785
2.607,0.463,0.905,2.192,2.166,0.170,1.738,0.784
2.609,0.463,0.905,2.192,2.166,0.171,1.738,0.784
2.607,0.463,0.905,2.192,2.166,0.171,1.738,0.784
2.607,0.463,0.905,2.194,2.167,0.171,1.738,0.784
2.611,0.463,0.905,2.192,2.166,0.171,1.738,0.784
2.607,0.463,0.905,2.194,2.166,0.171,1.738,0.784
2.606,0.463,0.905,2.192,2.166,0.171,1.740,0.784
2.606,0.463,0.905,2.191,2.164,0.170,1.738,0.784
2.607,0.463,0.905,2.192,2.164,0.171,1.737,0.782
2.606,0.463,0.905,2.191,2.164,0.170,1.738,0.784
2.607,0.461,0.905,2.192,2.164,0.171,1.737,0.782
2.606,0.463,0.905,2.191,2.164,0.171,1.737,0.782
2.607,0.461,0.905,2.192,2.164,0.171,1.737,0.782
2.606,0.461,0.905,2.194,2.164,0.170,1.738,0.782
2.606,0.461,0.905,2.192,2.164,0.171,1.738,0.782
2.606,0.461,0.905,2.192,2.164,0.171,1.737,0.782
2.605,0.461,0.905,2.190,2.163,0.170,1.740,0.782
2.606,0.461,0.905,2.191,2.164,0.171,1.738,0.782
2.606,0.461,0.905,2.191,2.164,0.171,1.737,0.781
2.605,0.461,0.905,2.191,2.164,0.171,1.738,0.782
2.605,0.461,0.905,2.191,2.164,0.171,1.738,0.782
2.605,0.461,0.905,2.191,2.163,0.170,1.737,0.781
2.604,0.461,0.905,2.190,2.162,0.170,1.738,0.782
2.606,0.461,0.906,2.190,2.163,0.170,1.738,0.781
2.604,0.461,0.905,2.192,2.166,0.170,1.738,0.781
2.604,0.461,0.905,2.192,2.163,0.171,1.737,0.781
2.604,0.463,0.905,2.190,2.162,0.170,1.738,0.781
2.604,0.461,0.903,2.190,2.163,0.171,1.740,0.780
2.604,0.461,0.905,2.194,2.162,0.170,1.737,0.781
2.603,0.461,0.903,2.189,2.162,0.170,1.738,0.780
2.604,0.461,0.903,2.189,2.161,0.170,1.737,0.780
2.604,0.461,0.905,2.190,2.162,0.170,1.738,0.780
2.604,0.461,0.903,2.189,2.161,0.170,1.736,0.780
2.604,0.461,0.903,2.190,2.162,0.170,1.738,0.780
2.604,0.461,0.905,2.189,2.161,0.170,1.737,0.780
2.603,0.463,0.903,2.189,2.161,0.170,1.737,0.781
2.605,0.461,0.903,2.189,2.161,0.170,1.737,0.780
2.603,0.463,0.903,2.187,2.159,0.170,1.738,0.780
2.603,0.461,0.905,2.189,2.161,0.170,1.737,0.780
